llm,topic,rarity,sentence,atomic_fact,human_label,method_a_pred,method_b_pred,method_c_pred,retrieved_evidence,method_a_confidence,method_b_confidence,method_c_confidence
InstructGPT,Taral Hicks,very rare,"She has released two albums, This Time (1997) and This Time Around (2000).",She has released an album titled This Time Around.,0,,,,,,,
InstructGPT,Taral Hicks,very rare,"She has released two albums, This Time (1997) and This Time Around (2000).",This Time was released in 1997.,1,,,,,,,
InstructGPT,Taral Hicks,very rare,"Hicks has also starred in several films, including A Bronx Tale (1993), New Jersey Drive (1995), and Kingdom Come (2001).",Hicks has starred in films.,1,,,,,,,
InstructGPT,Taral Hicks,very rare,"Hicks has also starred in several films, including A Bronx Tale (1993), New Jersey Drive (1995), and Kingdom Come (2001).",Hicks has starred in A Bronx Tale.,1,,,,,,,
InstructGPT,Taral Hicks,very rare,"Hicks has also starred in several films, including A Bronx Tale (1993), New Jersey Drive (1995), and Kingdom Come (2001).",A Bronx Tale is a film.,1,,,,,,,
InstructGPT,Taral Hicks,very rare,"Hicks has also starred in several films, including A Bronx Tale (1993), New Jersey Drive (1995), and Kingdom Come (2001).",A Bronx Tale was released in 1993.,1,,,,,,,
InstructGPT,Taral Hicks,very rare,"Hicks has also starred in several films, including A Bronx Tale (1993), New Jersey Drive (1995), and Kingdom Come (2001).",Hicks has starred in New Jersey Drive.,0,,,,,,,
InstructGPT,Taral Hicks,very rare,"Hicks has also starred in several films, including A Bronx Tale (1993), New Jersey Drive (1995), and Kingdom Come (2001).",Hicks has starred in Kingdom Come.,0,,,,,,,
InstructGPT,Taral Hicks,very rare,She has also had guest appearances on television shows such as New York Undercover and Law & Order.,She has had guest appearances on television shows.,1,,,,,,,
InstructGPT,Taral Hicks,very rare,She has also had guest appearances on television shows such as New York Undercover and Law & Order.,She has had guest appearances on New York Undercover.,0,,,,,,,
InstructGPT,Taral Hicks,very rare,She has also had guest appearances on television shows such as New York Undercover and Law & Order.,She has had guest appearances on Law & Order.,0,,,,,,,
InstructGPT,Chief Jones,very rare,Chief Jones is an experienced leader with a long history of success.,Chief Jones is an experienced leader.,0,,,,,,,
InstructGPT,Chief Jones,very rare,Chief Jones is an experienced leader with a long history of success.,Chief Jones has a long history of success.,0,,,,,,,
InstructGPT,Chief Jones,very rare,"He has worked in the public sector for over 20 years, leading teams and organizations to achieve their goals.",He has worked in the public sector.,0,,,,,,,
InstructGPT,Chief Jones,very rare,"He has worked in the public sector for over 20 years, leading teams and organizations to achieve their goals.",He has led teams.,0,,,,,,,
InstructGPT,Chief Jones,very rare,"He has worked in the public sector for over 20 years, leading teams and organizations to achieve their goals.",He has led organizations.,0,,,,,,,
InstructGPT,Chief Jones,very rare,"He is known for his strong work ethic, commitment to excellence, and unique perspective.",He is known for his strong work ethic.,0,,,,,,,
InstructGPT,Chief Jones,very rare,"He is known for his strong work ethic, commitment to excellence, and unique perspective.",He is known for his commitment to excellence.,0,,,,,,,
InstructGPT,Chief Jones,very rare,"He is known for his strong work ethic, commitment to excellence, and unique perspective.",He is known for his unique perspective.,0,,,,,,,
InstructGPT,Chief Jones,very rare,He is a strong believer in collaboration and the power of working together to achieve more.,He is a strong believer in collaboration.,0,,,,,,,
InstructGPT,Chief Jones,very rare,He is a strong believer in collaboration and the power of working together to achieve more.,He is a strong believer in the power of working together to achieve more.,0,,,,,,,
InstructGPT,Chief Jones,very rare,"He is an advocate for diversity and inclusion, and actively works to create an equitable and inclusive environment in his organizations.",He is an advocate for diversity.,0,,,,,,,
InstructGPT,Chief Jones,very rare,"He is an advocate for diversity and inclusion, and actively works to create an equitable and inclusive environment in his organizations.",He is an advocate for inclusion.,0,,,,,,,
InstructGPT,Chief Jones,very rare,"He is an advocate for diversity and inclusion, and actively works to create an equitable and inclusive environment in his organizations.",He actively works to create an equitable environment in his organizations.,0,,,,,,,
InstructGPT,Chief Jones,very rare,"He is an advocate for diversity and inclusion, and actively works to create an equitable and inclusive environment in his organizations.",He actively works to create an inclusive environment in his organizations.,0,,,,,,,
InstructGPT,Chief Jones,very rare,He is passionate about making a positive impact in the world and using his knowledge and skills to help others.,He is passionate about making a positive impact in the world.,0,,,,,,,
InstructGPT,Chief Jones,very rare,He is passionate about making a positive impact in the world and using his knowledge and skills to help others.,He is passionate about using his knowledge and skills to help others.,0,,,,,,,
InstructGPT,Joey D. Vieira,very rare,"Joey D. Vieira is an award-winning writer, director and producer who has built a career in film, television and new media.",Joey D. Vieira is an award-winning writer.,0,,,,,,,
InstructGPT,Joey D. Vieira,very rare,"Joey D. Vieira is an award-winning writer, director and producer who has built a career in film, television and new media.",Joey D. Vieira is an award-winning director.,0,,,,,,,
InstructGPT,Joey D. Vieira,very rare,"Joey D. Vieira is an award-winning writer, director and producer who has built a career in film, television and new media.",Joey D. Vieira is an award-winning producer.,0,,,,,,,
InstructGPT,Joey D. Vieira,very rare,"Joey D. Vieira is an award-winning writer, director and producer who has built a career in film, television and new media.",Joey D. Vieira has built a career in film.,1,,,,,,,
InstructGPT,Joey D. Vieira,very rare,"Joey D. Vieira is an award-winning writer, director and producer who has built a career in film, television and new media.",Joey D. Vieira has built a career in television.,1,,,,,,,
InstructGPT,Joey D. Vieira,very rare,"Joey D. Vieira is an award-winning writer, director and producer who has built a career in film, television and new media.",Joey D. Vieira has built a career in new media.,0,,,,,,,
InstructGPT,Joey D. Vieira,very rare,"His work includes directing and producing the feature films ""The Perfect Game,"" ""The Perfect Game: A True Story"" and ""The Perfect Game: A Cinderella Story,"" as well as writing and directing the television series ""The Adventures of Rocky and Bullwinkle.""",His work includes directing feature films.,1,,,,,,,
InstructGPT,Joey D. Vieira,very rare,"His work includes directing and producing the feature films ""The Perfect Game,"" ""The Perfect Game: A True Story"" and ""The Perfect Game: A Cinderella Story,"" as well as writing and directing the television series ""The Adventures of Rocky and Bullwinkle.""",His work includes producing feature films.,1,,,,,,,
InstructGPT,Joey D. Vieira,very rare,"His work includes directing and producing the feature films ""The Perfect Game,"" ""The Perfect Game: A True Story"" and ""The Perfect Game: A Cinderella Story,"" as well as writing and directing the television series ""The Adventures of Rocky and Bullwinkle.""",His work includes directing and producing The Perfect Game.,0,,,,,,,
InstructGPT,Joey D. Vieira,very rare,"His work includes directing and producing the feature films ""The Perfect Game,"" ""The Perfect Game: A True Story"" and ""The Perfect Game: A Cinderella Story,"" as well as writing and directing the television series ""The Adventures of Rocky and Bullwinkle.""",His work includes directing and producing The Perfect Game: A True Story.,0,,,,,,,
InstructGPT,Joey D. Vieira,very rare,"His work includes directing and producing the feature films ""The Perfect Game,"" ""The Perfect Game: A True Story"" and ""The Perfect Game: A Cinderella Story,"" as well as writing and directing the television series ""The Adventures of Rocky and Bullwinkle.""",His work includes directing and producing The Perfect Game: A Cinderella Story.,0,,,,,,,
InstructGPT,Joey D. Vieira,very rare,"His work includes directing and producing the feature films ""The Perfect Game,"" ""The Perfect Game: A True Story"" and ""The Perfect Game: A Cinderella Story,"" as well as writing and directing the television series ""The Adventures of Rocky and Bullwinkle.""",His work includes writing television series.,0,,,,,,,
InstructGPT,Joey D. Vieira,very rare,"His work includes directing and producing the feature films ""The Perfect Game,"" ""The Perfect Game: A True Story"" and ""The Perfect Game: A Cinderella Story,"" as well as writing and directing the television series ""The Adventures of Rocky and Bullwinkle.""",His work includes directing television series.,0,,,,,,,
InstructGPT,Joey D. Vieira,very rare,"His work includes directing and producing the feature films ""The Perfect Game,"" ""The Perfect Game: A True Story"" and ""The Perfect Game: A Cinderella Story,"" as well as writing and directing the television series ""The Adventures of Rocky and Bullwinkle.""",He wrote and directed The Adventures of Rocky and Bullwinkle.,0,,,,,,,
InstructGPT,Joey D. Vieira,very rare,"His work includes directing and producing the feature films ""The Perfect Game,"" ""The Perfect Game: A True Story"" and ""The Perfect Game: A Cinderella Story,"" as well as writing and directing the television series ""The Adventures of Rocky and Bullwinkle.""",The Adventures of Rocky and Bullwinkle is a television series.,0,,,,,,,
InstructGPT,Joey D. Vieira,very rare,"He has also written and/or produced content for a variety of networks and platforms, including CBS, NBC, Disney, HBO, MTV, Nickelodeon, History Channel and Netflix.",He has written content for a variety of networks.,0,,,,,,,
InstructGPT,Joey D. Vieira,very rare,"He has also written and/or produced content for a variety of networks and platforms, including CBS, NBC, Disney, HBO, MTV, Nickelodeon, History Channel and Netflix.",He has written content for a variety of platforms.,0,,,,,,,
InstructGPT,Joey D. Vieira,very rare,"He has also written and/or produced content for a variety of networks and platforms, including CBS, NBC, Disney, HBO, MTV, Nickelodeon, History Channel and Netflix.",He has produced content for a variety of networks.,0,,,,,,,
InstructGPT,Joey D. Vieira,very rare,"He has also written and/or produced content for a variety of networks and platforms, including CBS, NBC, Disney, HBO, MTV, Nickelodeon, History Channel and Netflix.",He has produced content for a variety of platforms.,0,,,,,,,
InstructGPT,Joey D. Vieira,very rare,"He has also written and/or produced content for a variety of networks and platforms, including CBS, NBC, Disney, HBO, MTV, Nickelodeon, History Channel and Netflix.",He has written and/or produced content for CBS.,0,,,,,,,
InstructGPT,Joey D. Vieira,very rare,"He has also written and/or produced content for a variety of networks and platforms, including CBS, NBC, Disney, HBO, MTV, Nickelodeon, History Channel and Netflix.",He has written and/or produced content for NBC.,0,,,,,,,
InstructGPT,Joey D. Vieira,very rare,"He has also written and/or produced content for a variety of networks and platforms, including CBS, NBC, Disney, HBO, MTV, Nickelodeon, History Channel and Netflix.",He has written and/or produced content for Disney.,0,,,,,,,
InstructGPT,Joey D. Vieira,very rare,"He has also written and/or produced content for a variety of networks and platforms, including CBS, NBC, Disney, HBO, MTV, Nickelodeon, History Channel and Netflix.",He has written and/or produced content for HBO.,0,,,,,,,
InstructGPT,Joey D. Vieira,very rare,"He has also written and/or produced content for a variety of networks and platforms, including CBS, NBC, Disney, HBO, MTV, Nickelodeon, History Channel and Netflix.",He has written and/or produced content for MTV.,0,,,,,,,
InstructGPT,Joey D. Vieira,very rare,"He has also written and/or produced content for a variety of networks and platforms, including CBS, NBC, Disney, HBO, MTV, Nickelodeon, History Channel and Netflix.",He has written and/or produced content for Nickelodeon.,0,,,,,,,
InstructGPT,Joey D. Vieira,very rare,"He has also written and/or produced content for a variety of networks and platforms, including CBS, NBC, Disney, HBO, MTV, Nickelodeon, History Channel and Netflix.",He has written and/or produced content for the History Channel.,0,,,,,,,
InstructGPT,Joey D. Vieira,very rare,"He has also written and/or produced content for a variety of networks and platforms, including CBS, NBC, Disney, HBO, MTV, Nickelodeon, History Channel and Netflix.",He has written and/or produced content for Netflix.,0,,,,,,,
InstructGPT,Joey D. Vieira,very rare,"He has been honored with numerous awards, including an Emmy nomination for his work on ""The Adventures of Rocky and Bullwinkle,"" and has been a finalist for the Humanitas Prize and the Austin Film Festival’s Screenwriting Award.",He has been honored with numerous awards.,0,,,,,,,
InstructGPT,Joey D. Vieira,very rare,"He has been honored with numerous awards, including an Emmy nomination for his work on ""The Adventures of Rocky and Bullwinkle,"" and has been a finalist for the Humanitas Prize and the Austin Film Festival’s Screenwriting Award.",He has been honored with an Emmy nomination.,0,,,,,,,
InstructGPT,Joey D. Vieira,very rare,"He has been honored with numerous awards, including an Emmy nomination for his work on ""The Adventures of Rocky and Bullwinkle,"" and has been a finalist for the Humanitas Prize and the Austin Film Festival’s Screenwriting Award.",His Emmy nomination was for his work on The Adventures of Rocky and Bullwinkle.,0,,,,,,,
InstructGPT,Joey D. Vieira,very rare,"He has been honored with numerous awards, including an Emmy nomination for his work on ""The Adventures of Rocky and Bullwinkle,"" and has been a finalist for the Humanitas Prize and the Austin Film Festival’s Screenwriting Award.",He has been a finalist for the Humanitas Prize.,0,,,,,,,
InstructGPT,Joey D. Vieira,very rare,"He has been honored with numerous awards, including an Emmy nomination for his work on ""The Adventures of Rocky and Bullwinkle,"" and has been a finalist for the Humanitas Prize and the Austin Film Festival’s Screenwriting Award.",He has been a finalist for the Austin Film Festival’s Screenwriting Award.,0,,,,,,,
InstructGPT,Lanny Flaherty,very rare,"Lanny Flaherty (born October 2, 1973) is an American actor, director and producer.","Lanny Flaherty was born on October 2, 1973.",0,,,,,,,
InstructGPT,Lanny Flaherty,very rare,"Lanny Flaherty (born October 2, 1973) is an American actor, director and producer.",Lanny Flaherty is an American.,1,,,,,,,
InstructGPT,Lanny Flaherty,very rare,"Lanny Flaherty (born October 2, 1973) is an American actor, director and producer.",Lanny Flaherty is an actor.,1,,,,,,,
InstructGPT,Lanny Flaherty,very rare,"Lanny Flaherty (born October 2, 1973) is an American actor, director and producer.",Lanny Flaherty is a director.,0,,,,,,,
InstructGPT,Lanny Flaherty,very rare,"Lanny Flaherty (born October 2, 1973) is an American actor, director and producer.",Lanny Flaherty is a producer.,0,,,,,,,
InstructGPT,Lanny Flaherty,very rare,"He is best known for his roles in the television series The Closer, Rizzoli & Isles and the film American Pie.",One of his best known roles is in The Closer.,0,,,,,,,
InstructGPT,Lanny Flaherty,very rare,"He is best known for his roles in the television series The Closer, Rizzoli & Isles and the film American Pie.",One of his best known roles is in Rizzoli & Isles.,0,,,,,,,
InstructGPT,Lanny Flaherty,very rare,"He is best known for his roles in the television series The Closer, Rizzoli & Isles and the film American Pie.",One of his best known roles is in American Pie.,0,,,,,,,
InstructGPT,Lanny Flaherty,very rare,"He has also appeared in numerous other movies and television shows including Without a Trace, The West Wing, CSI: NY and Grey's Anatomy.",He has appeared in numerous movies.,1,,,,,,,
InstructGPT,Lanny Flaherty,very rare,"He has also appeared in numerous other movies and television shows including Without a Trace, The West Wing, CSI: NY and Grey's Anatomy.",He has appeared in numerous television shows.,1,,,,,,,
InstructGPT,Lanny Flaherty,very rare,"He has also appeared in numerous other movies and television shows including Without a Trace, The West Wing, CSI: NY and Grey's Anatomy.",He has appeared in Without a Trace.,0,,,,,,,
InstructGPT,Lanny Flaherty,very rare,"He has also appeared in numerous other movies and television shows including Without a Trace, The West Wing, CSI: NY and Grey's Anatomy.",He has appeared in The West Wing.,0,,,,,,,
InstructGPT,Lanny Flaherty,very rare,"He has also appeared in numerous other movies and television shows including Without a Trace, The West Wing, CSI: NY and Grey's Anatomy.",He has appeared in CSI: NY.,0,,,,,,,
InstructGPT,Lanny Flaherty,very rare,"He has also appeared in numerous other movies and television shows including Without a Trace, The West Wing, CSI: NY and Grey's Anatomy.",He has appeared in Grey's Anatomy.,0,,,,,,,
InstructGPT,Lanny Flaherty,very rare,Flaherty began his acting career in 1995 with a role in the television movie The Christmas Tree.,Flaherty began his acting career in 1995.,0,,,,,,,
InstructGPT,Lanny Flaherty,very rare,Flaherty began his acting career in 1995 with a role in the television movie The Christmas Tree.,Flaherty began his career with a role in a television movie.,0,,,,,,,
InstructGPT,Lanny Flaherty,very rare,Flaherty began his acting career in 1995 with a role in the television movie The Christmas Tree.,The movie was called The Christmas Tree.,0,,,,,,,
InstructGPT,Lanny Flaherty,very rare,Flaherty began his acting career in 1995 with a role in the television movie The Christmas Tree.,The Christmas Tree was released in 1995.,0,,,,,,,
InstructGPT,Lanny Flaherty,very rare,"Since then he has gone on to appear in a number of feature films including American Pie, The Dukes of Hazzard, Supercross and The Devil's Rejects.",He has gone on to appear in a number of feature films.,1,,,,,,,
InstructGPT,Lanny Flaherty,very rare,"Since then he has gone on to appear in a number of feature films including American Pie, The Dukes of Hazzard, Supercross and The Devil's Rejects.",He has gone on to appear in American Pie.,0,,,,,,,
InstructGPT,Lanny Flaherty,very rare,"Since then he has gone on to appear in a number of feature films including American Pie, The Dukes of Hazzard, Supercross and The Devil's Rejects.",He has gone on to appear in The Dukes of Hazzard.,0,,,,,,,
InstructGPT,Lanny Flaherty,very rare,"Since then he has gone on to appear in a number of feature films including American Pie, The Dukes of Hazzard, Supercross and The Devil's Rejects.",He has gone on to appear in Supercross.,0,,,,,,,
InstructGPT,Lanny Flaherty,very rare,"Since then he has gone on to appear in a number of feature films including American Pie, The Dukes of Hazzard, Supercross and The Devil's Rejects.",He has gone on to appear in The Devil's Rejects.,0,,,,,,,
InstructGPT,Lanny Flaherty,very rare,"He has also directed episodes of the television series The Closer, Rizzoli & Isles and Without a Trace.",He has directed episodes of The Closer.,0,,,,,,,
InstructGPT,Lanny Flaherty,very rare,"He has also directed episodes of the television series The Closer, Rizzoli & Isles and Without a Trace.",He has directed episodes of Rizzoli & Isles.,0,,,,,,,
InstructGPT,Lanny Flaherty,very rare,"He has also directed episodes of the television series The Closer, Rizzoli & Isles and Without a Trace.",He has directed episodes of Without a Trace.,0,,,,,,,
InstructGPT,Chaim Malinowitz,very rare,"Chaim Malinowitz is a rabbi, author, and speaker.",Chaim Malinowitz is a rabbi.,1,,,,,,,
InstructGPT,Chaim Malinowitz,very rare,"Chaim Malinowitz is a rabbi, author, and speaker.",Chaim Malinowitz is an author.,1,,,,,,,
InstructGPT,Chaim Malinowitz,very rare,"Chaim Malinowitz is a rabbi, author, and speaker.",Chaim Malinowitz is a speaker.,0,,,,,,,
InstructGPT,Chaim Malinowitz,very rare,"He is the founder of the Jewish Learning Group and has served as a rabbi in New York City, Miami Beach, and Philadelphia.",He is the founder of the Jewish Learning Group.,0,,,,,,,
InstructGPT,Chaim Malinowitz,very rare,"He is the founder of the Jewish Learning Group and has served as a rabbi in New York City, Miami Beach, and Philadelphia.",He has served as a rabbi in New York City.,0,,,,,,,
InstructGPT,Chaim Malinowitz,very rare,"He is the founder of the Jewish Learning Group and has served as a rabbi in New York City, Miami Beach, and Philadelphia.",He has served as a rabbi in Miami Beach.,0,,,,,,,
InstructGPT,Chaim Malinowitz,very rare,"He is the founder of the Jewish Learning Group and has served as a rabbi in New York City, Miami Beach, and Philadelphia.",He has served as a rabbi in Philadelphia.,0,,,,,,,
InstructGPT,Chaim Malinowitz,very rare,"He has written two books, A Rabbi Looks at the Last Days: What the Bible Really Says About the End Times and A Rabbi Looks at the Messiah and the End of Days.",He has written two books.,0,,,,,,,
InstructGPT,Chaim Malinowitz,very rare,"He has written two books, A Rabbi Looks at the Last Days: What the Bible Really Says About the End Times and A Rabbi Looks at the Messiah and the End of Days.",He has written A Rabbi Looks at the Last Days: What the Bible Really Says About the End Times.,0,,,,,,,
InstructGPT,Chaim Malinowitz,very rare,"He has written two books, A Rabbi Looks at the Last Days: What the Bible Really Says About the End Times and A Rabbi Looks at the Messiah and the End of Days.",A Rabbi Looks at the Last Days: What the Bible Really Says About the End Times is a book.,0,,,,,,,
InstructGPT,Chaim Malinowitz,very rare,"He has written two books, A Rabbi Looks at the Last Days: What the Bible Really Says About the End Times and A Rabbi Looks at the Messiah and the End of Days.",He has written A Rabbi Looks at the Messiah and the End of Days.,0,,,,,,,
InstructGPT,Chaim Malinowitz,very rare,"He has written two books, A Rabbi Looks at the Last Days: What the Bible Really Says About the End Times and A Rabbi Looks at the Messiah and the End of Days.",A Rabbi Looks at the Messiah and the End of Days is a book.,0,,,,,,,
InstructGPT,Chaim Malinowitz,very rare,"He is a popular speaker on topics related to the Bible, Jewish tradition, and spirituality.",He is a popular speaker.,0,,,,,,,
InstructGPT,Chaim Malinowitz,very rare,"He is a popular speaker on topics related to the Bible, Jewish tradition, and spirituality.",He speaks on topics related to the Bible.,0,,,,,,,
InstructGPT,Chaim Malinowitz,very rare,"He is a popular speaker on topics related to the Bible, Jewish tradition, and spirituality.",He speaks on topics related to Jewish tradition.,0,,,,,,,
InstructGPT,Chaim Malinowitz,very rare,"He is a popular speaker on topics related to the Bible, Jewish tradition, and spirituality.",He speaks on topics related to spirituality.,0,,,,,,,
InstructGPT,Chaim Malinowitz,very rare,"He has been featured in The New York Times, The Washington Post, The Times of Israel, and many other publications.",He has been featured in The New York Times.,0,,,,,,,
InstructGPT,Chaim Malinowitz,very rare,"He has been featured in The New York Times, The Washington Post, The Times of Israel, and many other publications.",He has been featured in The Washington Post.,0,,,,,,,
InstructGPT,Chaim Malinowitz,very rare,"He has been featured in The New York Times, The Washington Post, The Times of Israel, and many other publications.",He has been featured in The Times of Israel.,0,,,,,,,
InstructGPT,Chaim Malinowitz,very rare,"He has been featured in The New York Times, The Washington Post, The Times of Israel, and many other publications.",He has been featured in many other publications.,0,,,,,,,
InstructGPT,Marianne McAndrew,very rare,Marianne McAndrew is an American actress best known for her roles in the 1970s films Grease and Airport 1975.,Marianne McAndrew is an American. - Marianne McAndrew is an actress.,1,,,,,,,
InstructGPT,Marianne McAndrew,very rare,Marianne McAndrew is an American actress best known for her roles in the 1970s films Grease and Airport 1975.,She is best known for her role in Grease.,0,,,,,,,
InstructGPT,Marianne McAndrew,very rare,Marianne McAndrew is an American actress best known for her roles in the 1970s films Grease and Airport 1975.,She is best known for her role in Airport 1975.,0,,,,,,,
InstructGPT,Marianne McAndrew,very rare,"She was born in Omaha, Nebraska on November 17th, 1947.",She was born in Omaha.,0,,,,,,,
InstructGPT,Marianne McAndrew,very rare,"She was born in Omaha, Nebraska on November 17th, 1947.","She was born on November 17th, 1947.",0,,,,,,,
InstructGPT,Marianne McAndrew,very rare,She attended the University of Nebraska and earned a degree in drama and speech.,She attended the University of Nebraska.,0,,,,,,,
InstructGPT,Marianne McAndrew,very rare,She began her career in theater and moved to television and film in the late 1960s.,She began her career in theater.,0,,,,,,,
InstructGPT,Marianne McAndrew,very rare,She began her career in theater and moved to television and film in the late 1960s.,She moved to television.,1,,,,,,,
InstructGPT,Marianne McAndrew,very rare,She began her career in theater and moved to television and film in the late 1960s.,She moved to film.,1,,,,,,,
InstructGPT,Marianne McAndrew,very rare,She began her career in theater and moved to television and film in the late 1960s.,She made the move in the late 1960s.,1,,,,,,,
InstructGPT,Marianne McAndrew,very rare,Her most famous roles include Sandy in Grease and the flight attendant in Airport 1975.,Her most famous roles include Sandy.,0,,,,,,,
InstructGPT,Marianne McAndrew,very rare,Her most famous roles include Sandy in Grease and the flight attendant in Airport 1975.,Her most famous roles include a flight attendant.,0,,,,,,,
InstructGPT,Marianne McAndrew,very rare,"She also had a recurring role in the sitcom Taxi, and guest starred on numerous other shows.",She had a recurring role in the sitcom Taxi.,0,,,,,,,
InstructGPT,Marianne McAndrew,very rare,"She also had a recurring role in the sitcom Taxi, and guest starred on numerous other shows.",She guest starred on numerous other shows.,1,,,,,,,
InstructGPT,Marianne McAndrew,very rare,"She is married to restaurateur Michael Tipps, and they have two children.",She is married.,1,,,,,,,
InstructGPT,Marianne McAndrew,very rare,"She is married to restaurateur Michael Tipps, and they have two children.",Her husband is restaurateur Michael Tipps.,0,,,,,,,
InstructGPT,Marianne McAndrew,very rare,"She is married to restaurateur Michael Tipps, and they have two children.",They have two children.,0,,,,,,,
InstructGPT,Focus...,very rare,"Focus is an English rock band formed in 1969 by keyboardist/vocalist and songwriter Thijs van Leer, drummer Hans Cleuver, guitarist Jan Akkerman, and bassist Bobby Jacobs.",Focus is an English band.,0,,,,,,,
InstructGPT,Focus...,very rare,"Focus is an English rock band formed in 1969 by keyboardist/vocalist and songwriter Thijs van Leer, drummer Hans Cleuver, guitarist Jan Akkerman, and bassist Bobby Jacobs.",Focus is a rock band.,0,,,,,,,
InstructGPT,Focus...,very rare,"Focus is an English rock band formed in 1969 by keyboardist/vocalist and songwriter Thijs van Leer, drummer Hans Cleuver, guitarist Jan Akkerman, and bassist Bobby Jacobs.",Focus was formed in 1969.,0,,,,,,,
